z,m1,m2
0.01,33.10283271369719,33.09960771677355
0.02,34.613311297890334,34.62121827588537
0.03,35.49903123056147,35.5178953825017
0.04,36.12892496317666,36.15857470691203
0.05,36.61861282875347,36.65887973037486
0.060000000000000005,37.01959590904066,37.07031461459005
0.06999999999999999,37.35934701664075,37.42035518599477
0.08,37.654265443088164,37.72540368590393
0.09,37.91492946596095,37.996041279579224
0.09999999999999999,38.148562201048534,38.23949391025658
0.11,38.36031590024263,38.460916598804864
0.12,38.55399505681384,38.664116550684234
0.13,38.73248907586643,38.85198582800223
0.14,38.8980441434555,39.026773220156436
0.15000000000000002,39.05244107289847,39.19026209160093
0.16,39.19711563665756,39.34389071511704
0.17,39.33324235411789,39.488836060917684
0.18000000000000002,39.46179429401827,39.62607360034583
0.19,39.583586686647365,39.75642091928374
0.2,39.69930933657208,39.88057013204289
0.21000000000000002,39.809551119182245,39.99911237902214
0.22,39.91481877348906,40.11255662057431
0.23,40.01555151421241,40.221344250119294
0.24000000000000002,40.11213253187094,40.32586059521989
0.25,40.204898143841675,40.42644406958993
0.26,40.2941451496633,40.52339352931066
0.27,40.38013679754782,40.61697424022264
0.28,40.46310766536936,40.707422759763475
0.29000000000000004,40.543267684841474,40.79495096196495
0.3,40.62080548327679,40.879749380004824
0.31,40.695891177265366,40.96199000065143
0.32,40.76867872273319,41.041828615064
0.33,40.839307903327054,41.11940680789614
0.34,40.90790602193752,41.1948536495158
0.35000000000000003,40.97458934701359,41.26828714299623
0.36000000000000004,41.0394643551314,41.33981546734157
0.37,41.102628803323455,41.40953805045453
0.38,41.16417265841701,41.47754649909581
0.39,41.22417890567372,41.54392540812824
0.4,41.28272425507027,41.608753067386175
0.41000000000000003,41.3398797603887,41.67210208133969
0.42000000000000004,41.395711363725205,41.73403991416307
0.43,41.45028037594931,41.79462937074013
0.44,41.503643901949154,41.85392902244278
0.45,41.55585521810897,41.91199358512941
0.46,41.606964108318515,41.968874255663586
0.47000000000000003,41.657017163865795,42.02461901230463
0.48000000000000004,41.70605805177552,42.079272883533235
0.49,41.75412775549707,42.13287818921614
0.5,41.801264791293676,42.185474757462174
0.51,41.84750540321968,42.23710012005664
0.52,41.8928837391804,42.28778968896923
0.53,41.93743201023646,42.33757691609732
0.54,41.98118063503144,42.38649343812408
0.55,42.02415837098044,42.434569208129176
0.56,42.06639243365062,42.481832615383304
0.5700000000000001,42.10790860558736,42.528310594580546
0.5800000000000001,42.14873133568714,42.57402872560986
0.59,42.188883830086354,42.61901132483511
0.6,42.22838813542148,42.66328152873927
0.61,42.26726521521681,42.706861370689154
0.62,42.30553502006994,42.749771851491126
0.63,42.34321655223031,42.792033004333184
0.64,42.380327925100204,42.83366395464297
0.65,42.416886418130396,42.87468297533411
0.66,42.45290852753208,42.91510753786258
0.67,42.488410013182296,42.954954359470506
0.68,42.52340594206104,42.994239446955625
0.6900000000000001,42.557910728523616,43.032978137270234
0.7000000000000001,42.59193817168136,43.07118513522265
0.7100000000000001,42.62550149013647,43.108874548527254
0.72,42.658613354292974,43.146059920425074
0.73,42.69128591644418,43.182754260075434
0.74,42.72353083881796,43.21897007090011
0.75,42.75535931974419,43.2547193770444
0.76,42.78678211809351,43.2900137481043
0.77,42.817809576122706,43.3248643222553
0.78,42.848451640850065,43.359281827906116
0.79,42.87871788407288,43.39327660398964
0.8,42.90861752112946,43.42685861899363
0.81,42.93815942849917,43.46003748882455
0.8200000000000001,42.96735216032583,43.49282249359021
0.8300000000000001,42.9962039639428,43.52522259337937
0.8400000000000001,43.024722794471224,43.55724644311003
0.85,43.052916328557366,43.58890240651227
0.86,43.080791977309154,43.62019856930593
0.87,43.10835689848751,43.65114275162872
0.88,43.13561800800344,43.681742519765855
0.89,43.16258199076798,43.71200519722821
0.9,43.18925531093805,43.741937875222376
0.91,43.21564422159856,43.77154742255281
0.92,43.2417547739173,43.800840494992734
0.93,43.26759282580706,43.829823544158344
0.9400000000000001,43.29316405012629,43.85850282591765
0.9500000000000001,43.31847394244777,43.88688440836339
0.9600000000000001,43.343527828422125,43.914974179377175
0.97,43.36833087076156,43.94277785381
0.98,43.392888075867,43.97030098030251
0.99,43.4172043001203,43.99754894776681
1.0,43.44128425586176,44.02452699154992
